Phonemic,Katakana,PartOfSpeech
[⸣bata ⸢koː⸣ruŋ],バタコールン,連
[⸣bata ⸢koː⸣ruŋ],バタコールン,連
[⸣pada ⸢koː⸣ruŋ],パダコールン,連
[ha⸢da⸣ʃi],ハダシ,名
[ba⸢ta⸣ʃi],バタシ,名
[ba⸢taʃi],バタシ,名
[pa⸢da⸣ʃi],パダシ,名
[ha⸢da⸣ʃi],ハダシ,名
[ba⸢ta⸣ʃi],バタシ,名
[ba⸢taʃi],バタシ,名
[pa⸢da⸣ʃi],パダシ,名
[⸣pada ʃi⸢ʣu⸣maruŋ],パダシズマルン,連
[⸣pada ʃi⸢ʣu⸣maruŋ],パダシズマルン,連
[ba⸢taʃi⸣buni],バタシブニ,名
[ba⸢taʃi⸣buni],バタシブニ,名
[⸣pada ʃi⸢ma⸣ruŋ],パダシマルン,連
[⸣pada ʃi⸢ma⸣ruŋ],パダシマルン,連
[ba⸢ta⸣ʤiru ⸢koː⸣ruŋ],バタジルコールン,連
[ba⸢ta⸣ʤiru ⸢koː⸣ruŋ],バタジルコールン,連
[ba⸢taʣuː⸣waŋ],バタズーワン,形
[ba⸢taʣuː⸣waŋ],バタズーワン,形
[⸣pada su̥⸢ku⸣maruŋ],パダスクマルン,連
[⸣pada su̥⸢ku⸣maruŋ],パダスクマルン,連
[⸣bata su̥⸢ku⸣muŋ],バタスクムン,連
[⸣bata su̥⸢ku⸣muŋ],バタスクムン,連
[ba⸢tasuku⸣rai],バタスクライ,名
[ba⸢tasuku⸣rai],バタスクライ,名
[ba⸢tasuŋ],バタスン,他動
[pa⸢ta⸣suŋ],パタスン,他動
[ba⸢tasuŋ],バタスン,他動
[pa⸢ta⸣suŋ],パタスン,他動
[ba⸢ta⸣dai],バタダイ,名
[ba⸢ta⸣dai],バタダイ,名
[ba⸢ta⸣taja],バタタヤ,名
[ba⸢ta⸣taja],バタタヤ,名
[pḁ⸢taʧi],パタチ,名
[pḁ⸢taʧi],パタチ,名
[ba⸢taʧiga⸣i],バタチガイ,名
[ba⸢taʧiga⸣i],バタチガイ,名
[pḁ⸢takkaru],パタッカルン,他動
[pḁ⸢takkaru],パタッカルン,他動
[pa⸢dakkaruŋ],パダッカルン,自動
[pḁ⸢takkaru],パタッカルン,他動
[pḁ⸢takkaru],パタッカルン,他動
[pa⸢dakkaruŋ],パダッカルン,自動
[pḁ⸢takkiruŋ],パタッキルン,他動
[pḁ⸢takkiruŋ],パタッキルン,他動
[pḁ⸢takkuŋ],パタックン,自動
[pḁ⸢takkuŋ],パタックン,自動
[⸣batassaraː],バタッサラー,名
[⸣batassaraː],バタッサラー,名
[ba⸢tassari⸣muni],バタッサリムニ,名
[ba⸢tassari⸣muni],バタッサリムニ,名
[ba⸢tassari⸣munu],バタッサリムヌ,名
[ba⸢tassari⸣munu],バタッサリムヌ,名
[⸣bata ⸣ssaruŋ],バタッサルン,連
[⸣bata ⸣ssaruŋ],バタッサルン,連
[⸣pada s⸢soː⸣ŋ],パダッソーン,連
[⸣pada s⸢soː⸣ŋ],パダッソーン,連
[ba⸢taf⸣faː],バタッふァー,名
[ba⸢taf⸣faː],バタッふァー,名
[ba⸢taf⸣faːŋ],バタッふァーン,形
[ba⸢taf⸣faːŋ],バタッふァーン,形
[pa⸢danaː⸣ŋ],パダナーン,形
[pa⸢danaː⸣ŋ],パダナーン,形
[ba⸢tanaka⸣ra],バタナカラ,名
[ba⸢tanaka⸣ra],バタナカラ,名
[ba⸢ta⸣niʤi],バタニジ,名
[ba⸢ta⸣niʤi],バタニジ,名
[ba⸢ta⸣nu ⸣kaː],バタヌカー,連
[ba⸢ta⸣nu ⸣kaː],バタヌカー,連
[ba⸢ta⸣nu ⸢saːruŋ],バタヌサールン,連
[ba⸢ta⸣nu ⸢saːruŋ],バタヌサールン,連
[ba⸢ta⸣nu ⸢ʃiːmunu],バタヌシームヌ,連
[ba⸢ta⸣nu ⸢ʃiːmunu],バタヌシームヌ,連
[ba⸢ta⸣nu sï̥⸢kairuŋ],バタヌシゥカイルン,連
[ba⸢ta⸣nu sï̥⸢kairuŋ],バタヌシゥカイルン,連
[ba⸢ta⸣nu ⸢pit⸣ʧiŋ],バタヌピッチン,連
[ba⸢ta⸣nu ⸢pit⸣ʧiŋ],バタヌピッチン,連
[pa⸢danubi⸣munu],パダヌビムヌ,名
[pa⸢danubi⸣munu],パダヌビムヌ,名
[ba⸢ta⸣nu ɸu̥⸢ʧi⸣ru],バタヌフチル,連
[ba⸢ta⸣nu ɸu̥⸢ʧi⸣ru],バタヌフチル,連
[⸣pada ⸣nubuŋ],パダヌブン,連
[⸣pada ⸣nubuŋ],パダヌブン,連
[pa⸢danubeː⸣ŋ],パダヌベーン,形
[pa⸢danubeː⸣ŋ],パダヌベーン,形
[ba⸢ta⸣nu mu⸢ʃi],バタヌムシ,連
[ba⸢ta⸣nu mu⸢ʃi],バタヌムシ,連
[ba⸢ta⸣nu mu⸢ʃi],バタヌムシ,連
[ba⸢ta⸣nu mu⸢ʃi],バタヌムシ,連
[ba⸢tabata],バタバタ,副
[pḁ⸢tapata],パタパタ,副
[ba⸢tabata],バタバタ,副
[pḁ⸢tapata],パタパタ,副
[ba⸢tapiː⸣ʧi],バタピーチ,名
[ba⸢tapiː⸣ʧi],バタピーチ,名
[⸣bata pi⸢narasuŋ],バタピナラスン,連
[⸣bata pi⸢narasuŋ],バタピナラスン,連
[⸣bata pi⸢naruŋ],バタピナルン,連
[⸣bata pi⸢naruŋ],バタピナルン,連
[ba⸢taɸuku⸣bi],バタフクビ,名
[ba⸢taɸuku⸣bi],バタフクビ,名
[ba⸢taɸu̥ku⸣raː],バタフクラー,名
[ba⸢taɸu̥ku⸣raː],バタフクラー,名
[ba⸢taɸu̥ku⸣ri],バタフクリ,名
[ba⸢taɸu̥ku⸣ri],バタフクリ,名
[ba⸢taɸu̥ku⸣ru],バタフクル,名
[ba⸢taɸu̥ku⸣ru],バタフクル,名
[ba⸢taɸu̥ku⸣ru],バタフクル,名
[ba⸢taɸu̥ku⸣ru],バタフクル,名
[ba⸢taɸuʤi⸣muni],バタフジムニ,名
[ba⸢taɸuʤi⸣muni],バタフジムニ,名
[ba⸢ta⸣ɸuʣuŋ],バタフズン,他動
[ba⸢ta⸣ɸuʣuŋ],バタフズン,他動
[⸣batabutaː],バタブター,名
[⸣batabutaː],バタブター,名
[ba⸢tamaː⸣ruŋ],バタマールン,自動
[ba⸢tamaː⸣ruŋ],バタマールン,自動
[⸣bata ⸢mai⸣jaŋ],バタマイヤン,連
[⸣bata ⸢mai⸣jaŋ],バタマイヤン,連
[pa⸢da⸣miː],パダミー,名
[pa⸢da⸣miː],パダミー,名
[ba⸢ta⸣miʧi],バタミチ,副
[ba⸢ta⸣miʧi],バタミチ,副
[ba⸢tamiʧisoː⸣ʤi],バタミチソージ,名
[ba⸢tamiʧisoː⸣ʤi],バタミチソージ,名
[ba⸢ta⸣miʦuŋ],バタミツン,自動
[ba⸢ta⸣miʦuŋ],バタミツン,自動
[ba⸢tamiŋ⸣guru],バタミングル,名
[ba⸢tamiŋ⸣guru],バタミングル,名
[⸣bata ⸢muːŋ],バタムーン,連
[⸣bata ⸢muːŋ],バタムーン,連
[⸣bata ⸢muiruŋ],バタムイルン,連
[⸣bata ⸢muiruŋ],バタムイルン,連
[⸣bata mu⸢geːruŋ],バタムゲールン,連
[⸣bata mu⸢geːruŋ],バタムゲールン,連
[pa⸢da⸣musu],パダムス,名
[pa⸢da⸣musu],パダムス,名
[ba⸢ta⸣muʧi],バタムチ,名
[pa⸢damu⸣ʧi],パダムチ,名
[ba⸢ta⸣muʧi],バタムチ,名
[pa⸢damu⸣ʧi],パダムチ,名
[⸣bata ⸣mutuŋ],バタムトゥン,連
[⸣bata ⸣mutuŋ],バタムトゥン,連
[ba⸢ta⸣jabi],バタヤビ,名
[ba⸢ta⸣jabi],バタヤビ,名
[pa⸢dajabi⸣pu̥su],パダヤビプス,名
[pa⸢dajabi⸣pu̥su],パダヤビプス,名
[pa⸢dajabi⸣jaŋ],パダヤビヤン,名
[pa⸢dajabi⸣jaŋ],パダヤビヤン,名
[⸣bata ja⸢bu⸣ruŋ],バタヤブルン,連
[⸣bata ja⸢bu⸣ruŋ],バタヤブルン,連
[ba⸢ta⸣ jabuŋ],バタヤブン,連
[ba⸢ta⸣ jabuŋ],バタヤブン,連
[ba⸢ta⸣ jamuŋ],バタヤムン,連
[ba⸢ta⸣ jamuŋ],バタヤムン,連
[ba⸢ta⸣jaŋ],バタヤン,名
[ba⸢ta⸣jaŋ],バタヤン,名
[ba⸢tajoː⸣ŋ],バタヨーン,形
[ba⸢tajoː⸣ŋ],バタヨーン,形
[pa⸢da⸣ra],パダラ,名
[pa⸢da⸣ra],パダラ,名
[pata⸢raːtti],パタラーッティ,副
[pata⸢raːtti],パタラーッティ,副
[pata⸢raːtti],パタラーッティ,副
[pata⸢raːtti],パタラーッティ,副
[pa⸢daraː⸣ŋ],パダラーン,形
[pa⸢daraː⸣ŋ],パダラーン,形
[pḁ⸢tarakaː],パタラカー,名
[pḁ⸢tarakaː],パタラカー,名
[pḁ⸢tarakiʤibuŋ],パタラキジブン,名
[pḁ⸢tarakiʤibuŋ],パタラキジブン,名
[pḁ⸢tarakibana],パタラキバナ,名
[pḁ⸢tarakibana],パタラキバナ,名
[pḁ⸢tarakimunu],パタラキムヌ,名
[pḁ⸢tarakimunu],パタラキムヌ,名
[pḁ⸢tarakuŋ],パタラクン,自動
[pḁ⸢tarakuŋ],パタラクン,自動
[pḁta⸢ratti],パタラッティ,副
[pḁta⸢ratti],パタラッティ,副
[pa⸢daramuŋ],パダラムン,名
[pa⸢daramuŋ],パダラムン,名
[pḁ⸢taraŋkeː⸣ri],パタランケーリ,副
[pḁ⸢taraŋkeː⸣ri],パタランケーリ,副
[ba⸢taruŋ],バタルン,他動
[ba⸢taruŋ],バタルン,他動
[ba⸢taruŋ],バタルン,他動
[ba⸢taruŋ],バタルン,他動
[ba⸢tambataŋ],バタンバタンシ,副
[ba⸢tambataŋ],バタンバタンシ,副
[⸣haʧi],ハチ,名
[ba⸢ʧi],バチ,名
[⸣baʧi],バチ,名
[⸣baʧi],バチ,名
[pḁ⸢ʧi],パチ,名
[pḁ⸢ʧi],パチ,接頭
[pḁ⸢ʧi],パチ,名
[⸣haʧi],ハチ,名
[ba⸢ʧi],バチ,名
[⸣baʧi],バチ,名
[⸣baʧi],バチ,名
[pḁ⸢ʧi],パチ,名
[pḁ⸢ʧi],パチ,接頭
[pḁ⸢ʧi],パチ,名
[pḁ⸢ʧiʔimi],パチイミ,名
[pḁ⸢ʧiʔimi],パチイミ,名
[pḁ⸢ʧiʔukuʃi],パチウクシ,名
[pḁ⸢ʧiʔukuʃi],パチウクシ,名
[pḁ⸢ʧi⸣ ʔu⸢ku⸣suŋ],パチウクスン,連
[pḁ⸢ʧi⸣ ʔu⸢ku⸣suŋ],パチウクスン,連
[ba⸢ʧikabi⸣munu],バチカビムヌ,名
[ba⸢ʧikabi⸣munu],バチカビムヌ,名
[ba⸢ʧi⸣ kabuŋ],バチカブン,連
[ba⸢ʧi⸣ kabuŋ],バチカブン,連
[pḁ⸢ʧikannaːru],パチカンナール,名
[pḁ⸢ʧikannaːru],パチカンナール,名
[ba⸢ʧikwaːsuŋ],バチクヮースン,自動
[ba⸢ʧikwaːsuŋ],バチクヮースン,自動
[ba⸢ʧikwai],バチクヮイ,感
[ba⸢ʧikwai],バチクヮイ,感
[pa⸢ʧisoːraŋ],パチソーラン,名
[pa⸢ʧisoːraŋ],パチソーラン,名
[pḁ⸢ʧi⸣soŋgaʧi],パチソンガチ,名
[pḁ⸢ʧi⸣soŋgaʧi],パチソンガチ,名
[pa⸢ʧitabi],パチタビ,名
[pa⸢ʧitabi],パチタビ,名
[pa⸢ʧitajuru],パチタユル,名
[pa⸢ʧitajuru],パチタユル,名
[pḁ⸢ʧiffa],パチッふァ,名
[pḁ⸢ʧiffa],パチッふァ,名
[pa⸢ʧinaʃi],パチナシ,名
[pa⸢ʧinaʃi],パチナシ,名
[pḁ⸢ʧinaru],パチナル,名
[pḁ⸢ʧinaru],パチナル,名
[pḁ⸢ʧinaŋka],パチナンカ,名
[pḁ⸢ʧinaŋka],パチナンカ,名
[pḁ⸢ʧinu⸣ f⸢fa],パチヌッふァ,連
[pḁ⸢ʧinu⸣ f⸢fa],パチヌッふァ,連
[pḁ⸢ʧipaʧi],パチパチ,名
[pḁ⸢ʧipaʧi],パチパチ,副
[pḁ⸢ʧipaʧi],パチパチ,名
[pḁ⸢ʧipaʧi],パチパチ,副
[hḁ⸢ʧibaŋ⸣ʃeŋ],ハチバンシェン,名
[hḁ⸢ʧibaŋ⸣ʃeŋ],ハチバンシェン,名
[hḁ⸢ʧibu⸣rampu],ハチブランプ,名
[hḁ⸢ʧibu⸣rampu],ハチブランプ,名
[pḁ⸢ʧimaː],パチマー,名
[pḁ⸢ʧimaː],パチマー,名
[ha⸢ʧima⸣ki],ハチマキ,名
[ha⸢ʧima⸣ki],ハチマキ,名
[pḁ⸢ʧimika⸣suŋ],パチミカスン,他動
[pḁ⸢ʧimika⸣suŋ],パチミカスン,他動
[pḁ⸢ʧimiŋgura⸣suŋ],パチミングラスン,他動
[pḁ⸢ʧimiŋgura⸣suŋ],パチミングラスン,他動
[pḁ⸢ʧijuː],パチユー,副
[pḁ⸢ʧijuː],パチユー,副
[hḁ⸢ʧoːɸu],ハチョーフ,名
[hḁ⸢ʧoːɸu],ハチョーフ,名
[pa⸢ʧiŋgakaː],パチンガカー,固
[pa⸢ʧiŋgakaː],パチンガカー,固
[pḁ⸢ʧiŋgwa⸣ʧi],パチングヮチ,名
[pḁ⸢ʧiŋgwa⸣ʧi],パチングヮチ,名
[pḁ⸢ʧiŋgwaʧi⸣ʃi̥ki],パチングヮチシキ,名
[pḁ⸢ʧiŋgwaʧi⸣ʃi̥ki],パチングヮチシキ,名
[pḁ⸢ʧiʔnʤi],パチンジ,名
[pḁ⸢ʧiʔnʤi],パチンジ,名
[pḁ⸢ʧiʔnʤi],パチンジ,名
[pḁ⸢ʧiʔnʤi],パチンジ,名
[pḁ⸢ʧaː⸣ŋ],パツァーン,形
[pḁ⸢ʧaː⸣ŋ],パツァーン,形
[pḁ⸢ʦaːmpaʦaːŋ],パツァーンパツァーン,副
[pḁ⸢ʦaːmpaʦaːŋ],パツァーンパツァーン,副
[pḁ⸢ʦa⸣gumi],パツァグミ,名
[pḁ⸢ʦa⸣gumi],パツァグミ,名
[ba⸢ʦami⸣ruŋ],バツァミルン,他動
[ba⸢ʦami⸣ruŋ],バツァミルン,他動
[ba⸢ʦa⸣muŋ],バツァムン,他動
[ba⸢ʦa⸣muŋ],バツァムン,他動
[pa⸢ʦarapaʦara],パツァラパツァラ,副
[pa⸢ʦarapaʦara],パツァラパツァラ,副
[pa⸢ʦarapaʦara],パツァラパツァラ,副
[pa⸢ʦarapaʦara],パツァラパツァラ,副
[pḁ⸢ʦarapaʦara⸣ʃi],パツァラパツァラシ,副
[pḁ⸢ʦarapaʦara⸣ʃi],パツァラパツァラシ,副
[pḁʦan⸢ti],パツァンティ,副
[pḁʦan⸢ti],パツァンティ,副
[⸢hak⸣ka],ハッカ,名
[⸢hak⸣ka],ハッカ,名
[⸣hakkaku],ハッカク,名
[⸣hakkaku],ハッカク,名
[⸢pakkiruŋ],パッキルン,自動
[⸢pakkiruŋ],パッキルン,自動
[⸢bakkiŋ],バッキン,名
[⸢bakkiŋ],バッキン,名
[⸢bakkurasuŋ],バックラスン,他動
[⸢bakkurasuŋ],バックラスン,他動
[⸢bakkuriruŋ],バックリルン,自動
[⸢bakkuriruŋ],バックリルン,自動
[⸢bakkuruŋ],バックルン,自動
[⸢bakkuruŋ],バックルン,自動
[⸢bas⸣sai],バッサイ,名
[⸢bas⸣sai],バッサイ,名
[⸣hassamajoː],ハッサマヨー,感
[⸣hassamajoː],ハッサマヨー,感
[⸢badʣarabaʣara],バッザラバザラ,副
[⸢badʣarabaʣara],バッザラバザラ,副
[⸢badʣarabaʣara],バッザラバザラ,副
[⸢badʣarabaʣara],バッザラバザラ,副
[⸣passaŋ],パッサン,名
[⸣passaŋ],パッサン,名
[⸢hassunʤibu⸣ku],ハッスンジブク,名
[⸢hassunʤibu⸣ku],ハッスンジブク,名
[⸢pat⸣ta ⸣ʃi̥ki],パッタシキ,連
[⸢pat⸣ta ⸣ʃi̥ki],パッタシキ,連
[⸢pat⸣tantiŋ],パッタンティン,連
[⸢pat⸣tantiŋ],パッタンティン,連
[⸢pat⸣ʧiː],パッチー,名
[⸢pat⸣ʧiː],パッチー,名
[⸢patʧima⸣ruŋ],パッチマルン,自動
[⸢patʧima⸣ruŋ],パッチマルン,自動
[⸢hatʧoː⸣ruː],ハッチョールー,名
[⸢hatʧoː⸣ruː],ハッチョールー,名
[⸢batʦaːsuŋ],バッツァースン,他動
[⸢patʦaː⸣suŋ],パッツァースン,自動
[⸢batʦaːsuŋ],バッツァースン,他動
[⸢patʦaː⸣suŋ],パッツァースン,自動
[⸢batʦaːruŋ],バッツァールン,自動
[⸢batʦaːruŋ],バッツァールン,自動
[⸢patʦoː⸣ruŋ],パッツォールン,自動
[⸢patʦoː⸣ruŋ],パッツォールン,自動
[⸢pattu],パットゥ,名
[⸢pattu],パットゥ,名
[⸢hap⸣pa],ハッパ,名
[⸢hap⸣pa],ハッパ,名
[⸢bappaː],バッパー,名
[⸢bappaː],バッパー,名
[⸢bap⸣pai],バッパイ,名
[⸢bap⸣pai],バッパイ,名
[⸢bappai⸣ruŋ],バッパイルン,他動
[⸢bappai⸣ruŋ],バッパイルン,他動
[⸢bap⸣pauŋ],バッパウン,他動
[⸢bap⸣pauŋ],バッパウン,他動
[⸢bap⸣puː],バップー,名
[⸢bap⸣puː],バップー,名
[⸢pappugasuŋ],パップガスン,他動
[⸢pappugasuŋ],パップガスン,他動
[⸢pappugiruŋ],パップギルン,自動
[⸢pappugiruŋ],パップギルン,自動
[⸣happoː],ハッポー,名
[⸣happoː],ハッポー,名
[hḁ⸢ʦuri],ハツリ,名
[hḁ⸢ʦuri],ハツリ,名
[hḁ⸢ʦuruŋ],ハツルン,他動
[hḁ⸢ʦuruŋ],ハツルン,他動
[pḁ⸢ti],パティ,名
[pḁ⸢ti],パティ,名
[pa⸢ti⸣muni],パティムニ,名
[pa⸢ti⸣muni],パティムニ,名
[pḁ⸢ti⸣munu],パティムヌ,名
[pḁ⸢ti⸣munu],パティムヌ,名
[pḁ⸢tijoː⸣ʣoː],パティヨーゾー,名
[pḁ⸢tijoː⸣ʣoː],パティヨーゾー,名
[pa⸢tiruma],パティルマ,名
[pa⸢tiruma],パティルマ,名
[pa⸢tirumapusu],パティルマプス,名
[pa⸢tirumapusu],パティルマプス,名
[pa⸢tirumamuru],パティルマムル,名
[pa⸢tirumamuru],パティルマムル,名
[pḁ⸢ti⸣ruŋ],パティルン,自動
[pḁ⸢ti⸣ruŋ],パティルン,自動
[pa⸢ti⸣waʣa],パティワザ,名
[pa⸢ti⸣waʣa],パティワザ,名
[⸣patuguʣa],パトゥグザ,名
[⸣patuguʣa],パトゥグザ,名
[⸣pḁtuʣa],パトゥザ,名
[⸣pḁtuʣa],パトゥザ,名
[pḁ⸢tuʣaː⸣gukku],パトゥザーグック,名
[pḁ⸢tuʣaː⸣gukku],パトゥザーグック,名
[pḁ⸢tu⸣ma],パトゥマ,名
[pḁ⸢tu⸣ma],パトゥマ,名
[pḁ⸢tuma⸣nakamuri],パトゥマナカムリ,名
[pḁ⸢tuma⸣nakamuri],パトゥマナカムリ,名
[pḁ⸢tu⸣manaʦaːra],パトゥマナツァーラ,名
[pḁ⸢tu⸣manaʦaːra],パトゥマナツァーラ,名
[pḁ⸢tu⸣mabuʃi],パトゥマブシ,名
[pḁ⸢tu⸣mabuʃi],パトゥマブシ,名
[pḁ⸢tu⸣mamuni],パトゥマムニ,名
[pḁ⸢tu⸣mamuni],パトゥマムニ,名
[pḁ⸢tu⸣mareː],パトゥマレー,名
[pḁ⸢tu⸣mareː],パトゥマレー,名
[pḁ⸢tu⸣munu],パトゥムヌ,名
[pḁ⸢tu⸣munu],パトゥムヌ,名
[pḁ⸢tu⸣meː],パトゥメー,名
[pḁ⸢tu⸣meː],パトゥメー,名
[pḁ⸢tu⸣menu ka⸢butʧiteː],パトゥメーヌカブッチテー,連
[pḁ⸢tu⸣menu ka⸢butʧiteː],パトゥメーヌカブッチテー,連
[⸣-patuŋ],パトゥン,補動
[⸣-patuŋ],パトゥン,補動
[⸣bana],バナ,名
[⸣pana],パナ,名
[⸣pana],パナ,名
[⸣pana],パナ,名
[⸣pana],パナ,名
[pa⸢na],パナ,名
[pa⸢na],パナ,名
[pa⸢na],パナ,名
[⸣pana],パナ,名
[⸣pana],パナ,接尾
[⸣bana],バナ,名
[⸣pana],パナ,名
[⸣pana],パナ,名
[⸣pana],パナ,名
[⸣pana],パナ,名
[pa⸢na],パナ,名
[pa⸢na],パナ,名
[pa⸢na],パナ,名
[⸣pana],パナ,名
[⸣pana],パナ,接尾
[pa⸢naː⸣suŋ],パナースン,他動
[pa⸢naː⸣suŋ],パナースン,他動
[pa⸢naː⸣ma],パナーマ,名
[pa⸢naː⸣ma],パナーマ,名
[pa⸢naːra⸣suŋ],パナーラスン,他動
[pa⸢naːra⸣suŋ],パナーラスン,他動
[pa⸢naːri⸣ruŋ],パナーリルン,自動
[pa⸢naːri⸣ruŋ],パナーリルン,自動
[pa⸢naːri⸣ruŋ],パナーリルン,自動
[pa⸢naːri⸣ruŋ],パナーリルン,自動
[pa⸢naː⸣ruŋ],パナールン,自動
[pa⸢naː⸣ruŋ],パナールン,自動
[pa⸢nai],パナイ,名
[pa⸢nai],パナイ,名
[pa⸢na⸣ʔika],パナイカ,名
[pa⸢na⸣ʔika],パナイカ,名
[pa⸢najiki],パナイキ,名
[pa⸢na⸣ʔiki],パナイキ,名
[pa⸢najiki],パナイキ,名
[pa⸢na⸣ʔiki],パナイキ,名
[pa⸢naikigari⸣munu],パナイキガリムヌ,名
[pa⸢naikigari⸣munu],パナイキガリムヌ,名
[pa⸢najiki⸣garuŋ],パナイキガルン,自動
[pa⸢najiki⸣garuŋ],パナイキガルン,自動
[pa⸢naisaki],パナイサキ,名
[pa⸢naisaki],パナイサキ,名
[pa⸢na⸣ʔutuŋ],パナウトゥン,他動
[pa⸢na⸣ʔutuŋ],パナウトゥン,他動
[pa⸢nagaː⸣ra],パナガーラ,名
[pa⸢nagaː⸣ra],パナガーラ,名
[pa⸢nakakaː],パナカカー,名
[pa⸢nakakaː],パナカカー,名
[pa⸢nakaki⸣munu],パナカキムヌ,名
[pa⸢nakaki⸣munu],パナカキムヌ,名
[pa⸢naga⸣sa],パナガサ,名
[pa⸢naga⸣sa],パナガサ,名
[pa⸢na⸣gara],パナガラ,名
[pa⸢na⸣gara],パナガラ,名
[pa⸢na⸣gi],パナギ,名
[pa⸢na⸣gi],パナギ,名
[pa⸢nagiː],パナギー,名
[pa⸢nagiː],パナギー,名
[pa⸢nagita],パナギタ,名
[pa⸢nagita],パナギタ,名
[pa⸢nakura⸣gaː],パナクラガー,名
[pa⸢nakura⸣gaː],パナクラガー,名
[pa⸢na⸣goʣa],パナゴザ,名
[pa⸢na⸣goʣa],パナゴザ,名
[pa⸢naʣa⸣ki],パナザキ,名
[pa⸢naʣa⸣ki],パナザキ,名
[pa⸢na⸣ʃi],パナシ,名
[pa⸢na⸣ʃi],パナシ,名
[pa⸢na⸣ʃi],パナシ,名
[pa⸢na⸣ʃi],パナシ,名
[pa⸢naʤiː],パナジー,名
[pa⸢naʤiː],パナジー,名
[pa⸢naʃiʔaː⸣suŋ],パナシアースン,他動
[pa⸢naʃiʔaː⸣suŋ],パナシアースン,他動
[pa⸢naʃi̥ki],パナシキ,名
[pa⸢naʃi̥ki],パナシキ,名
[pa⸢naʃi̥ki⸣ ʔu⸢ʦa⸣suŋ],パナシキウツァスン,連
[pa⸢naʃi̥ki⸣ ʔu⸢ʦa⸣suŋ],パナシキウツァスン,連
[pa⸢naʃi̥ki⸣ kḁ⸢kariŋ⸣gisaŋ],パナシキカカリンギサン,連
[pa⸢naʃi̥ki⸣ kḁ⸢kariŋ⸣gisaŋ],パナシキカカリンギサン,連
[pa⸢naʃi̥ki⸣ kḁ⸢ka⸣ruŋ],パナシキカカルン,連
[pa⸢naʃi̥ki⸣ kḁ⸢ka⸣ruŋ],パナシキカカルン,連
[pa⸢naʃi̥ki⸣ ga⸢maːra⸣saŋ],パナシキガマーラサン,連
[pa⸢naʃi̥ki⸣ ga⸢maːra⸣saŋ],パナシキガマーラサン,連
[pa⸢naʃi̥kinu niŋ⸣gai],パナシキヌニンガイ,連
[pa⸢naʃi̥kinu niŋ⸣gai],パナシキヌニンガイ,連
[pa⸢naʃi̥kinu⸣ ɸu̥⸢ʧi⸣ru],パナシキヌフチル,連
[pa⸢naʃi̥kinu⸣ ɸu̥⸢ʧi⸣ru],パナシキヌフチル,連
[pa⸢naʃi̥ki ɸusi̥⸣karuŋ],パナシキフシゥカルン,連
[pa⸢naʃi̥ki ɸusi̥⸣karuŋ],パナシキフシゥカルン,連
[pa⸢naʃi̥ki⸣ ma⸢maruŋ],パナシキママルン,連
[pa⸢naʃi̥ki⸣ ma⸢maruŋ],パナシキママルン,連
[pa⸢naʃi̥keː],パナシケー,固
[pa⸢naʃi̥keː],パナシケー,固
[pa⸢naʃi̥keːnu ʔaː⸣nijaːteː],パナシケーヌアーニヤーテー,連
[pa⸢naʃi̥keːnu ʔaː⸣nijaːteː],パナシケーヌアーニヤーテー,連
[pa⸢naʃiʤi],パナシジ,名
[pa⸢naʃiʤi],パナシジ,名
[pa⸢na⸣ʃiʣoːʤi],パナシゾージ,名
[pa⸢na⸣ʃiʣoːʤi],パナシゾージ,名
[pa⸢naʤina],パナジナ,名
[pa⸢naʤina],パナジナ,名
[pa⸢na⸣ʃi na⸢ra⸣nu],パナシナラヌ,連
[pa⸢na⸣ʃi na⸢ra⸣nu],パナシナラヌ,連
[pa⸢na⸣ ʃi⸢ma⸣ruŋ],パナシマルン,連
[pa⸢na⸣ ʃi⸢ma⸣ruŋ],パナシマルン,連
[pa⸢na⸣ʃimuʧi],パナシムチ,名
[pa⸢na⸣ʃimuʧi],パナシムチ,名
[pa⸢naʃi⸣munu],パナシムヌ,名
[pa⸢naʃi⸣munu],パナシムヌ,名
[pa⸢naʃi⸣joː],パナシヨー,名
[pa⸢naʃi⸣joː],パナシヨー,名
[pa⸢naʤiru],パナジル,名
[pa⸢naʤiru],パナジル,名
[pa⸢naʃiŋ⸣gui],パナシングイ,名
[pa⸢naʃiŋ⸣gui],パナシングイ,名
[pa⸢na⸣ʣumitisaʤi],パナズミティサジ,名
[pa⸢na⸣ʣumitisaʤi],パナズミティサジ,名
[pa⸢na⸣suŋ],パナスン,他動
[pa⸢na⸣suŋ],パナスン,他動
[pa⸢na⸣suŋ],パナスン,他動
[pa⸢na⸣suŋ],パナスン,他動
[pa⸢na⸣suŋ],パナスン,他動
[pa⸢na⸣suŋ],パナスン,他動
[pa⸢nadajaː],パナダヤー,名
[pa⸢nadajaː],パナダヤー,名
[pa⸢nadari⸣munu],パナダリムヌ,名
[pa⸢nadari⸣munu],パナダリムヌ,名
[pa⸢nadaru],パナダル,名
[pa⸢nadaru],パナダル,名
[pa⸢nadarutari⸣munu],パナダルタリムヌ,名
[pa⸢nadarutari⸣munu],パナダルタリムヌ,名
[pa⸢na⸣ ssuŋ],パナッスン,連
[pa⸢na⸣ ssuŋ],パナッスン,連
[pa⸢natoːraː],パナトーラー,名
[pa⸢natoːraː],パナトーラー,名
[pa⸢natoːri⸣munu],パナトーリムヌ,名
