noisy_input,clean_katakana_target,phonemic_target
プスミー,プスミー,[pu̥⸢su⸣miː]
スウシキタク,スーシキタク,[⸢suːʃi̥ki⸣tḁku]
ディクッツァ,ディクッツァー,[di⸢kut⸣ʦaː]
シリツクムン,シリックムン,[ʃi⸢rik⸣kumuŋ]
カキッツァースン,カキッツァースン,[kḁ⸢kitʦaː⸣suŋ]
フタグクル,フタグクル,[ɸu̥⸢tagukuru]
アガヤー,アガヤー,[⸣ʔagajaː]
パトゥメエヌカフッチテエ,パトゥメーヌカブッチテー,[pḁ⸢tu⸣menu ka⸢butʧiteː]
コパンタリ,コーパンタリ,[⸢koːpan⸣tari]
ウチアクン,ウチアクン,[ʔu⸢ʧi⸣ʔakuŋ]
シミナア,シミナー,[ʃi⸢mi⸣naː]
タタ,タダ,[ta⸢da]
デエジ,デージ,[⸢deː⸣ʤi]
カンピユル,カンピュール,[⸢kampjuː⸣ru]
パニッカイスン,パニッカイスン,[pa⸢nikkai⸣suŋ]
ムヌ,ムヌ,[⸣munu]
トウカイ,ドゥガイ,[⸣dugai]
ピームドゥル,ピームドゥル,[⸢piːmuduru]
ウヤヌマイ,ウヤヌマイ,[ʔu⸢ja⸣numai]
ウウブシ,ウーブシ,[⸢ʔuː⸣buʃi]
ティー,ティー,[⸣tiː]
ボーンケールン,ボーンケールン,[⸢boːŋkeː⸣ruŋ]
バカソッコー,バカソッコー,[ba⸢kasok⸣koː]
サイトゥビムヌ,サイトゥビムヌ,[⸢saitubimunu]
ジピシヤマ,ジーピシヤマ,[⸢ʤiːpi̥ʃi⸣jama]
ムム,ムム,[mu⸢mu]
カバッサン,カバッサン,[ka⸢bas⸣saŋ]
ウヤカミ,ウヤガミ,[⸣ʔujagami]
アバキ,アバキー,[ʔa⸢ba⸣kiː]
ウイマスン,ウイマースン,[⸢ʔuimaːsuŋ]
キンシタダル,キンシタダル,[⸢kiŋʃi̥tadaru]
ニシマルン,ニージマルン,[⸢niːʤima⸣ruŋ]
スウミイ,スーミー,[⸢suːmiː]
ブシトウイ,ブシトゥイ,[⸢buʃi̥⸣tui]
フイバーマ,フイバーマ,[ɸui⸢baː⸣ma]
カマアラサン,カマーラサン,[ka⸢maːra⸣saŋ]
タア,ター,[⸢taː]
ピムドゥル,ピームドゥル,[⸢piːmuduru]
アリヒヤ,アリヒャー,[⸣ʔariçaː]
ナキブガリルン,ナキブガリルン,[na⸢kibugari⸣ruŋ]
パンッスル,パンッスル,[⸢panssu⸣ru]
タチノオルン,タチノールン,[tḁ⸢ʧinoː⸣ruŋ]
シー,シー,[⸢ʃiː]
ヌチヨオン,ヌチヨーン,[⸣nuʧi ⸢joː⸣ŋ]
プスシゥカ,プスシゥカ,[pu̥⸢su⸣sï̥ka]
ニムチ,ニームチ,[⸢niːmu⸣ʧi]
シビッタラ,シビッタラ,[ʃi⸢bittara]
キダカン,キーダカーン,[⸢kiːdakaː⸣ŋ]
マンカムヌ,マンカムヌ,[⸢maŋka⸣munu]
タキンマ,タキンーマ,[tḁ⸢kiʔmː⸣ma]
キユ,キュー,[⸢kjuː]
ティーポーキ,ティーポーキ,[⸢tiːpoː⸣ki]
マルキイ,マルキー,[ma⸢rukiː]
トーフナビ,トーフナビ,[⸢toː⸣ɸunabi]
ジンダイク,ジンダイク,[⸢ʤindai⸣ku]
トゥンガアユリ,トゥンガーユリ,[⸢tuŋgaː⸣juri]
サクアア,サクアー,[sa⸢ku⸣ʔaː]
トウツカソジ,トゥッカソージ,[⸢tukkasoːʤi]
ナカジル,ナカジル,[⸣nakaʤiru]
ユクヌドウ,ユクヌドゥ,[ju⸢kunudu]
ナマンタムニ,ナマンダムニ,[na⸢mandamuni]
ナーマ,ナーマ,[⸢naː⸣ma]
フウスクン,フースクン,[⸣ɸuː ⸣su̥kuŋ]
ゴダスン,ゴーダースン,[⸢goː⸣daː ⸢suŋ]
キツァン,キツァン,[ki⸢ʦa⸣ŋ]
プスヌシマ,プスヌシマ,[pu̥⸢sunu⸣ ʃima]
コオラアナスン,ゴーラーナスン,[⸢goː⸣raː ⸣nasuŋ]
パジキサー,パジキサー,[⸣paʤiki̥saː]
カシナア,カシナー,[ka⸢ʃi⸣naː]
ナナクルビヤアウキ,ナナクルビヤーウキ,[na⸢nakuru⸣bi ⸢jaːʔuki]
シナイヨー,シナイヨー,[ʃi⸢naijoː]
ドウピキ,ドゥーピキ,[⸢duː⸣pi̥ki]
ナナ,ナナ,[⸣nana]
ゾリルン,ゾーリルン,[⸢ʣoːriruŋ]
プスミーッスン,プスミーッスン,[pu̥⸢su miːs⸣suŋ]
カサケエヌマツォサアテエ,カザケーヌマツォザーテー,[ka⸢ʣakeːnu⸣ maʦoʣaːteː]
ピダミ,ピダミ,[pi⸢da⸣mi]
サギティーグ,サギティーグ,[sa⸢gitiː⸣gu]
ナガアミ,ナガアミ,[na⸢gaʔami]
ケンツア,ケンツァ,[⸢ken⸣ʦa]
ナン,ナン,[⸣naŋ]
シンロオ,シンロー,[⸢ʃin⸣roː]
ヤーシー,ヤーシー,[⸢jaː⸣ʃiː]
ナアル,ナール,[⸢naːru]
カンダカン,カンダカーン,[⸢kandakaː⸣ŋ]
ニザラコザラ,ニーザラコーザラ,[⸢niː⸣ʣarakoːʣara]
フクロフクロシ,フクローフクローシ,[ɸu̥⸢kuroːɸukuroː⸣ʃi]
オヌル,オーヌール,[⸢ʔoːnuːru]
ドゥクナバ,ドゥクナバ,[⸣dukunaba]
ギツテイ,ギッティ,[git⸢ti]
スウヌアリイ,スーヌアリー,[⸢suː⸣nu ⸣ʔariː]
トゥリマイ,トゥリマイ,[tu⸢ri⸣mai]
ナマンダカアラキ,ナマンダカーラキ,[na⸢mandakaːraki]
ピキスウ,ピキスー,[pi̥⸢kisuː]
イーラリン,イーラリン,[⸢ʔiːra⸣riŋ]
コーラスン,コーラスン,[⸢koːra⸣suŋ]
タカアタカアシ,タカータカーシ,[tḁ⸢kaːtakaː⸣ʃi]
マリパー,マリパー,[ma⸢ripaː]
フシックムン,フジックムン,[ɸu⸢ʤikkumuŋ]
キムアアスン,キムアースン,[⸣kimu ⸢ʔaː⸣suŋ]
ツォー,ツォー,[⸣ʦoː]
ナラシ,ナラーシ,[na⸢raː⸣ʃi]
パルン,パルン,[pa⸢ruŋ]
ナナカサビ,ナナカサビ,[na⸢nakasa⸣bi]
ニシュ,ニジュー,[⸣niʤuː]
ジンフクル,ジンフクル,[⸢ʤiŋɸuku⸣ru]
パンクルン,パンクルン,[⸢paŋ⸣kuruŋ]
クンキャー,クンキャー,[⸢kuŋ⸣kjaː]
ッふプー,ッふプー,[f⸢fu⸣puː]
ヒチカンカイ,ビチカンガイ,[bi⸢ʧikaŋ⸣gai]
アバリルン,アバリルン,[ʔa⸢bariruŋ]
ブンギ,ブンギ,[⸢buŋ⸣gi]
ダルマー,ダルマー,[da⸢ru⸣maː]
プスタルカキ,プスタルガキ,[pu̥⸢sutarugaki]
プールウタ,プールウタ,[⸢puːru⸣ʔuta]
ドゥーヌアナ,ドゥーヌアナ,[⸢duː⸣nu ⸣ʔana]
クウネエシ,クーネーシ,[⸢kuːneː⸣ʃi]
アマキ,アマキー,[⸣ʔamakiː]
キンヒン,キンビン,[⸢kim⸣biŋ]
ナマッス,ナマッス,[na⸢ma⸣ssusu]
インビイ,インビー,[⸢ʔim⸣biː]
アカピニ,アガピニ,[ʔa⸢gapini]
ミイガアラ,ミーガーラ,[⸢miːgaː⸣ra]
キムシナースン,キムシナースン,[⸣kimu ʃi⸢naː⸣suŋ]
ユームシ,ユームシ,[⸢juːmuʃi]
ハンタグヮテ,ハンタグヮーテー,[⸢hantagwaː⸣teː]
パルシグトゥ,パルシグトゥ,[pa⸢ruʃigu⸣tu]
シノ,シノー,[⸣ʃinoː]
ガアドゥレエ,ガードゥレー,[⸢gaː⸣dureː]
トウバスン,トゥバスン,[tu⸢basuŋ]
バツパイ,バッパイ,[⸢bap⸣pai]
ピヒサヌッサ,ピビザヌッサ,[pi⸢biʣanu⸣ ssa]
ミンサア,ミンサー,[⸣minsaː]
カキルン,ガギルン,[ga⸢giruŋ]
イズン,イズン,[ʔi⸢ʣuŋ]
スミムヌヤー,スミムヌヤー,[su⸢mimunujaː]
ヌーヤーカヌー,ヌーヤーカヌー,[⸢nuː⸣jaːka ⸣nuː]
ウトウンジムヌ,ウトゥンジムヌ,[ʔu⸢tunʤi⸣munu]
アサキ,アサキ,[ʔa⸢sa⸣ki]
アガシタダル,アガシタダル,[ʔa⸢gaʃitadaru]
アギザミヨー,アギザミヨー,[⸣ʔagiʣamijoː]
ヤマタカビヌニンガイ,ヤマタカビヌニンガイ,[ja⸢matakabi⸣nu ⸢niŋ⸣gai]
サカザア,サカザー,[sḁ⸢kaʣaː]
パヤガッティン,パヤガッティン,[pa⸢jagat⸣tiŋ]
プスニ,プスニー,[pu̥⸢su⸣niː]
パジ,パジ,[⸣paʤi]
コッティ,ゴーッティ,[goːt⸢ti]
カンビョーブガリ,カンビョーブガリ,[⸢kambjoːbuga⸣ri]
トゥリチガイルン,トゥリチガイルン,[tu⸢riʧigai⸣ruŋ]
ピイフンシキトゥル,ピーフンシキドゥル,[⸢piːɸuŋʃi̥ki⸣duru]
フタチ,フターチ,[ɸu̥⸢taːʧi]
サフケマ,サフケーマ,[saɸu̥⸢keː⸣ma]
ソッコーグトゥ,ソッコーグトゥ,[⸢sokkoː⸣gutu]
フウジ,フージ,[⸢ɸuːʤi]
シカットゥン,シカットゥン,[ʃi̥⸢kattuŋ]
カザーフクローフクローシ,カザーフクローフクローシ,[ka⸢ʣa⸣ ɸu̥⸢kuroːɸu̥kuroː⸣ʃi]
ヌウユンサア,ヌーユンサー,[⸢nuː⸣junsaː]
ユウシハル,ユーシバル,[⸢juːʃiba⸣ru]
スアタリ,スーアタリ,[⸢suːʔata⸣ri]
ゴオンコオン,ゴーンコーン,[⸢goːŋkoːŋ]
アーシキン,アーシキン,[⸢ʔaːʃi⸣kiŋ]
シッキマアサア,シッキマーサー,[⸢ʃikkimaː⸣saː]
マアタク,マータク,[⸢maːtaku]
シキダチ,シキダチ,[ʃi̥⸢kida⸣ʧi]
プスッカラ,プスッカラ,[pu̥⸢suk⸣kara]
バンタア,バンター,[⸢ban⸣taː]
サクラカ,サクラカー,[sḁ⸢kura⸣kaː]
ピキヤルン,ピキヤルン,[pi̥⸢kijaruŋ]
カジマアヤア,カジマーヤー,[ka⸢ʤimaː⸣jaː]
ピルピナカ,ピールピナカ,[⸢piːrupinaka]
グマアン,グマアン,[⸣gumaʔaŋ]
ニユーカン,ニューカン,[ɲuːkan]
プウマクン,プーマクン,[⸢puːmakuŋ]
ナナッチ,ナナッチ,[na⸢nat⸣ʧi]
ヤシ,ヤーシー,[⸢jaː⸣ʃiː]
シイグ,シーグ,[⸢ʃiː⸣gu]
ウサイルン,ウサイルン,[ʔu⸢sairuŋ]
ヌシ,ヌーシ,[⸢nuː⸣ʃi]
シニ,シニ,[⸣ʃini]
バカン,バカーン,[ba⸢kaː⸣ŋ]
プスニビ,プスニビ,[pu̥⸢su⸣nibi]
ハナボール,ハナボール,[ha⸢naboː⸣ru]
シアギルン,シアギルン,[ʃi⸢agiruŋ]
タッテエカッテエ,タッテーカッテー,[⸢tat⸣teː ⸢kat⸣teː]
ヌウサン,ヌーサン,[nuː⸢saŋ]
ミイドゥクル,ミードゥクル,[⸢miːduku⸣ru]
フチ,フチ,[ɸu̥⸢ʧi]
カタキ,カタキ,[kḁ⸢ta⸣ki]
ミーヌパタ,ミーヌパタ,[⸢miː⸣nu ⸣pḁta]
マアレエガアラア,マーレーガーラー,[⸢maːreːgaːraː]
パヤール,パヤール,[pa⸢jaː⸣ru]
ピイヌパタラ,ピーヌパタラ,[⸢piː⸣nu pḁ⸢tara]
カタパアヌキル,カタパーヌキル,[kḁ⸢tapaːnuki⸣ru]
バサアギ,バサーギ,[⸣basaːgi]
イラリン,イーラリン,[⸢ʔiːra⸣riŋ]
ルクンガチ,ルクンガチ,[ru⸢kuŋga⸣ʧi]
ムヌツふアイザク,ムヌッふァイザク,[mu⸢nuffai⸣ʣaku]
アンツォ,アンツォー,[⸢ʔanʦoː]
パチソラン,パチソーラン,[pa⸢ʧisoːraŋ]
ナガライルン,ナガライルン,[na⸢garairuŋ]
フジリカジリ,フジリカジリ,[ɸu⸢ʤi⸣rikaʤiri]
ウフカマシ,ウブガマジ,[ʔu⸢bugama⸣ʤi]
スダティゾオジ,スダティゾージ,[su⸢datiʣoː⸣ʤi]
パサリン,パーサリン,[⸢paːsa⸣riŋ]
シティポリ,シティポーリ,[ʃi̥⸢tipoː⸣ri]
ウイパラスン,ウイパラスン,[⸢ʔuipara⸣suŋ]
イナジキ,イーナジキ,[⸢ʔiːnaʤiki]
ガラサマール,ガラサマール,[ga⸢ra⸣samaːru]
ヌーヤラバン,ヌーヤラバン,[⸣nuː ja⸢rabaŋ]
ヤギラー,ヤギラー,[⸣jagiraː]
ナケー,ナケー,[⸣nakeː]
カトーシ,カトーシ,[kḁ⸢toːʃi]
スラパンタ,スラパンタ,[su⸢rapan⸣ta]
ウムイナウムイナ,ウムイナウムイナ,[ʔu⸢mui⸣naʔumuina]
シマサニ,シマサニ,[⸣ʃimasani]
インタパナシケエ,インタパナシケー,[⸢ʔintapanaʃi̥keː]
ゾンギ,ゾンギ,[⸢ʣoŋ⸣gi]
トゥシテエ,トゥシテー,[⸣tu ʃi̥⸢teː]
クヤミ,クヤミ,[ku⸢ja⸣mi]
バタツサリムヌ,バタッサリムヌ,[ba⸢tassari⸣munu]
ハキサカサ,バキサカサ,[ba⸢kisaka⸣sa]
ミョージ,ミョージ,[⸢mjoː⸣ʤi]
トゥピチ,トゥーピーチ,[⸢tuːpiː⸣ʧi]
シイシヌキン,シーシヌキン,[⸢ʃiːʃi⸣nu ⸣kiŋ]
ウシヌヨイ,ウシヌヨイ,[ʔu⸢ʃinu⸣ joi]
アトゥマアシ,アトゥマーシ,[⸣ʔatumaːʃi]
ヤフリルン,ヤブリルン,[ja⸢buri⸣ruŋ]
ミチウクリ,ミチウクリ,[mi⸢ʧiʔukuri]
ナンドゥキン,ナンドゥキン,[nan⸢dukiŋ]
トウズマルン,トゥズマルン,[tu⸢ʣu⸣maruŋ]
ニイキシルン,ニーキシルン,[⸢niːki̥ʃi⸣ruŋ]
カニナアル,カニナール,[ka⸢ninaːru]
カアチイバイ,カーチーバイ,[⸢kaːʧiː⸣bai]
ブツトウル,ブットゥル,[⸢but⸣turu]
シゥカイアースン,シゥカイアースン,[si̥⸢kai ʔaː⸣suŋ]
イエイ,イエイ,[⸣ʔijei]
ナカノオリ,ナカノーリ,[na⸢kanoː⸣ri]
シキッツァスン,シキッツァースン,[ʃi̥⸢kitʦaːsuŋ]
タンディカンディ,タンディカンディ,[⸢tan⸣dikandi]
トゥンティカンティ,トゥンティカンティ,[⸢tuntikan⸣ti]
クバリンガターナリブー,クバリンガターナリブー,[ku⸢bariŋ⸣gataː na⸢ri⸣ buː]
ゴーゴーシ,ゴーゴーシ,[⸢goːgoː⸣ʃi]
タイコーマ,タイコーマ,[tai⸢koː⸣ma]
カイジヨ,カイジョー,[⸣kaiʤoː]
カムラマ,カムラーマ,[ka⸢muraː⸣ma]
ミジフチル,ミジフチル,[mi⸢ʤiɸuʧi⸣ru]
スブルムタイルン,スブルムタイルン,[su⸢bu⸣ru mu⸢tai⸣ruŋ]
シツパイカツパイ,シッパイカッパイ,[⸢ʃippaikap⸣pai]
フミムヌ,フミムヌ,[ɸu⸢mimunu]
グヮンプトゥキ,グヮンプトゥキ,[⸢gwampu̥tu⸣ki]
シキグトゥ,シキグトゥ,[ʃi̥⸢kigutu]
ッふァムイサン,ッふァムイサン,[f⸢famui⸣saŋ]
アテイソ,アティソー,[ʔa⸢ti⸣soː]
ナナキ,ナーナキ,[⸢naːnaki]
パナルン,パナールン,[pa⸢naː⸣ruŋ]
ブチ,ブーチ,[⸢buː⸣ʧi]
フン,フーン,[⸢ɸuːŋ]
ジジルマスン,ジージルマースン,[⸢ʤiːʤirumaː⸣suŋ]
ナンギ,ナンギ,[⸢naŋ⸣gi]
バタヤビ,バタヤビ,[ba⸢ta⸣jabi]
トウリナスン,トゥリナスン,[tu⸢rina⸣suŋ]
ウチマーリカジ,ウチマーリカジ,[ʔu⸢ʧimaːri⸣kaʤi]
シカスン,シカスン,[ʃi̥⸢kasuŋ]
カタカスン,カタカスン,[kḁ⸢ta⸣ka ⸢suŋ]
パサムン,パサムン,[pḁ⸢sa⸣muŋ]
ヨオラ,ヨーラ,[⸢joː⸣ra]
ミードゥーサン,ミードゥーサン,[⸢miːduː⸣saŋ]
ナルフウナア,ナルフーナー,[⸣naru ⸣ɸuːnaː]
タタラ,タタラ,[tḁ⸢ta⸣ra]
パチユ,パチユー,[pḁ⸢ʧijuː]
トウリイトウリイシ,トゥリートゥリーシ,[turiː⸢turiː⸣ʃi]
シタマキ,シターマキー,[ʃi̥⸢taː⸣makiː]
ウキムトゥン,ウキムトゥン,[ʔu⸢ki⸣mutuŋ]
ユウアミ,ユーアミ,[⸢juː⸣ʔami]
ウチウチ,ウチウチ,[ʔu⸢ʧiutʧi]
ピタリウチマアシ,ピダリウチマーシ,[pi⸢dariʔuʧimaː⸣ʃi]
マイリ,マイリ,[⸢mai⸣ri]
ミンパヤーン,ミンパヤーン,[⸢mimpajaː⸣ŋ]
ナチアミ,ナチアミ,[na⸢ʧiami]
クルフン,クルブン,[ku⸢rubuŋ]
ドゥームティドング,ドゥームティドング,[⸢duːmutidoŋ⸣gu]
ドゥーヤーラーン,ドゥーヤーラーン,[⸢duːjaː⸣raːŋ]
タカアルン,ダカールン,[da⸢kaːruŋ]
キートゥラリン,キートゥラリン,[⸢kiː⸣ tu⸢ra⸣riŋ]
イチバンミ,イチバンミー,[ʔi⸢ʧibam⸣miː]
ドウータルガキ,ドゥータルガキ,[⸢duːtaruga⸣ki]
バコオ,バコー,[⸣bakoː]
ナルフナ,ナルフーナー,[⸣naru ⸣ɸuːnaː]
スクイス,スクイズ,[su̥⸢kuʔiʣu]
シマ,シマ,[⸣ʃima]
ミトゥドゥクン,ミートゥドゥクン,[⸢miːtudu⸣kuŋ]
ナクイ,ナグイ,[na⸢gui]
ハイ,ハイ,[⸢ha⸣i]
マナマキ,マナマーキ,[ma⸢namaː⸣ki]
ツサクイ,ッサクイ,[s⸢sakui]
タイコオマ,タイコーマ,[tai⸢koː⸣ma]
テイーパナスン,ティーパナスン,[⸢tiːpana⸣suŋ]
アースン,アースン,[⸢ʔaːsuŋ]
ヤーディン,ヤーディン,[jaː⸢diŋ]
マサカサナヌ,マサーカサーナーヌ,[⸣masaːkasaː ⸢naː⸣nu]
トウラテイマリ,トゥラディマリ,[tu⸢radimari]
ナナティヌソッコー,ナナティヌソッコー,[na⸢nati⸣nu ⸢sok⸣koː]
バラフタピイ,バラフタピー,[ba⸢raɸu̥⸣tapiː]
ナベンマテ,ナベンマテー,[⸣nabemmateː]
パー,パー,[⸢paː]
シッキツァスン,シッキツァースン,[⸢ʃikkiʦaː⸣suŋ]
テイーシナウン,ティーシナウン,[⸣tiː ʃi⸢nauŋ]
カイダアジイ,カイダージー,[⸢kaidaːʤiː]
ププシ,プープーシ,[⸢puːpuː⸣ʃi]
パヤアリウタ,パヤーリウタ,[pa⸢jaːri⸣ʔuta]
ゾシキ,ゾーシキ,[⸢ʣoː⸣ʃi̥ki]
ヤマサー,ヤマサー,[ja⸢ma⸣saː]
インヌパア,インヌパー,[⸢ʔin⸣nu ⸣paː]
カニルン,カニルン,[ka⸢niruŋ]
ティ,ティー,[⸣tiː]
パイバタ,パイバタ,[⸢paiba⸣ta]
ムー,ムー,[⸢muː]
キイル,キール,[⸢kiːru]
ウカットゥ,ウカットゥ,[ʔu⸢kattu]
ヌチエアン,ヌチェーアン,[⸣nuʧeː ⸣ʔaŋ]
ナアニ,ナーニ,[⸢naː⸣ni]
ミイナライ,ミーナライ,[⸢miː⸣narai]
ワアタア,ワーター,[⸢waːtaː]
サッコ,サッコー,[⸢sak⸣koː]
ウイシ,ウイシ,[⸢ʔui⸣ʃi]
ソ,ソー,[⸢soː]
トゥルバウン,トゥルバウン,[tu⸢rubauŋ]
アタリマイ,アタリマイ,[ʔa⸢tari⸣mai]
パタ,パダ,[⸣pada]
ホンマ,ホンマ,[⸢hom⸣ma]
ギッティ,ギッティ,[git⸢ti]
グイル,グイル,[⸢guiru]
フジ,フージ,[⸢ɸuːʤi]
パティヨーゾー,パティヨーゾー,[pḁ⸢tijoː⸣ʣoː]
アガピイル,アガピール,[ʔa⸢gapiːru]
イシドウール,イシドゥール,[ʔi⸢ʃiduːru]
カクラキ,カクラーキ,[kḁ⸢kuraː⸣ki]
インヌッスヌタカアンガリ,インヌッスヌタカアンガリ,[⸢ʔin⸣nu s⸢su⸣nu tḁ⸢kaʔaŋ⸣gari]
ニーバキ,ニーバキ,[⸢niː⸣baki]
バカスクリ,バカスクリ,[ba⸢kasu̥Ku⸣ri]
アジシゥカスン,アジシゥカスン,[ʔa⸢ʤisi̥kasuŋ]
ユクタニ,ユクタニ,[ju⸢kutani]
シビンダティビリ,シビンダティビリ,[ʃi⸢bindatibiri]
ミダリルン,ミーダリルン,[⸣miː da⸢ri⸣ruŋ]
ピウチ,ピーウチ,[⸢piː⸣ʔuʧi]
アカシラ,アカジラー,[ʔa⸢ka⸣ʤiraː]
ヤックビ,ヤーックビ,[⸢jaːkkubi]
アシツァ,アシツァ,[ʔa⸢ʃi⸣ʦa]
オンテエ,オンデー,[⸢ʔon⸣deː]
タタラアサン,タタラーサン,[tḁ⸢taraː⸣saŋ]
インヤー,インヤー,[⸢ʔiɲ⸣jaː]
ヌウサン,ヌーサン,[nuː⸢saŋ]
ギグイ,ギーグイ,[⸢giːgui]
ヤマピンギムヌ,ヤマピンギムヌ,[ja⸢mapiŋgi⸣munu]
ナマンダアクビ,ナマンダアクビ,[na⸢mandaʔakubi]
ナラビルン,ナラビルン,[na⸢rabiruŋ]
マサマリ,マーサマリ,[⸢maːsamari]
アアシ,アーシ,[⸢ʔaː⸣ʃi]
トゥンナキン,トゥンナキン,[⸢tunnakiŋ]
カラシーシ,カラシーシ,[ka⸢raʃiːʃi]
アキミックヮ,アキミックヮー,[ʔa⸢kimikkwaː]
カクン,カクン,[⸣kḁkuŋ]
フウバリ,フーバリ,[⸢ɸuː⸣bari]
プラツクン,プラックン,[pu⸢rakkuŋ]
フンツアメ,フンツァメー,[⸢ɸunʦa⸣meː]
ッサジナ,ッサジナー,[s⸢sa⸣ʤinaː]
ダイカアル,ダイカール,[⸢daikaːru]
マミヌカア,マミヌカー,[ma⸢mi⸣nukaː]
カサ,カサ,[⸣kḁsa]
タブ,タブ,[ta⸢bu]
プスマアル,プスマール,[pu̥⸢sumaː⸣ru]
サクラーン,サクラーン,[sḁ⸢kuraː⸣ŋ]
イキグリサン,イキグリサン,[ʔi⸢kiguri⸣saŋ]
ヌチドゥクル,ヌチドゥクル,[nu⸢ʧiduku⸣ru]
スームニ,スームニ,[⸢suː⸣muni]
ボス,ボースー,[⸢boːsuː]
ピイフシ,ピーフシ,[⸢piː⸣ɸu̥ʃi]
パトゥメエヌカブッチテエ,パトゥメーヌカブッチテー,[pḁ⸢tu⸣menu ka⸢butʧiteː]
ビスンカスン,ビスンカスン,[bi⸢suŋkasuŋ]
クバヌパアシル,クバヌパーシル,[ku⸢banupaːʃiru]
パスン,パースン,[⸢paː⸣suŋ]
ボオシ,ボーシ,[⸢boːʃi]
ミイスカミヌバン,ミースカミヌバン,[⸢miː⸣sukaminu ⸣baŋ]
カラヤ,カーラヤー,[⸢kaː⸣rajaː]
コオラアナスン,ゴーラーナスン,[⸢goː⸣raː ⸣nasuŋ]
プウルウタ,プールウタ,[⸢puːru⸣ʔuta]
ナマンタムミ,ナマンダムーミ,[na⸢mandamuːmi]
ウデイダイ,ウディダイ,[ʔu⸢di⸣dai]
ウヤスン,ウヤースン,[ʔu⸢jaːsuŋ]
ヨナ,ヨーナ,[⸣joːna]
ナマシケーナ,ナマシケーナ,[na⸢maʃi̥keː⸣na]
ナラースン,ナラースン,[na⸢raː⸣suŋ]
カサマサン,カサマサン,[kḁ⸢sama⸣saŋ]
ダイカン,ダイカン,[⸢dai⸣kaŋ]
アンカマクイ,アンガマクイ,[⸢ʔaŋ⸣gamakui]
テーファー,テーファー,[⸢teː⸣ɸaː]
ナガ,ナガ,[na⸢ga]
シムン,シムン,[ʃi⸢muŋ]
ニヒッタルウキッタル,ニビッタルウキッタル,[ni⸢bittaru⸣ ʔu⸢kit⸣taru]
プスイピズ,プスイピーズ,[⸣pusuipiːʣu]
アタラサン,アタラサン,[ʔa⸢tara⸣saŋ]
マイウチ,マイウチ,[⸢mai⸣ʔuʧi]
ニーヌパーカジ,ニーヌパーカジ,[⸢niːnu⸣paːkaʤi]
ピッチン,ピッチン,[⸢pit⸣ʧiŋ]
アヌヨーヌムヌ,アヌヨーヌムヌ,[⸣ʔanujoːnu ⸣munu]
パアカムン,パーカムン,[⸣paː ⸣kamuŋ]
バカーバカーシ,バカーバカーシ,[ba⸢kaːbakaː⸣ʃi]
クティムニ,クティムニ,[ku̥⸢ti⸣muni]
ピダルカダル,ピダルカダル,[⸣pidarukadaru]
ミーカ,ミーカ,[⸢miːka]
パトゥン,パトゥン,[⸣-patuŋ]
サン,ザン,[⸣ʣaŋ]
ムヌン,ムヌン,[⸣munuŋ]
ヤークブ,ヤークブ,[⸢jaː⸣kubu]
アマシエヌヤマザテ,アマシェーヌヤマザーテー,[ʔa⸢maʃeːnu⸣ jamaʣaːteː]
ヤマトゥムニ,ヤマトゥムニ,[ja⸢matu⸣muni]
スクン,スクン,[su̥⸢kuŋ]
パマウリソージ,パマウリソージ,[pa⸢maʔurisoː⸣ʤi]
ゲサウン,ゲーサウン,[⸢geːsauŋ]
カサ,カサ,[⸣kḁsa]
カタマルン,カタマールン,[kḁ⸢tamaː⸣ruŋ]
グーイシ,グーイシ,[⸢guː⸣ʔiʃi]
クウガアシ,クーガーシ,[⸢kuːgaː⸣ʃi]
アミシジキ,アミシジキ,[ʔa⸢miʃiʤi⸣ki]
トウカグシ,トゥカグシ,[tu̥⸢kaguʃi]
イズホーシナー,イズホーシナー,[ʔi⸢ʣuhoːʃi⸣naː]
ムシクダシ,ムシクダシ,[mu⸢ʃikudaʃi]
カラムン,カラムン,[ka⸢ra⸣mun]
フニマースン,フニマースン,[⸣ɸuni ⸢maːsuŋ]
ニキシルン,ニーキシルン,[⸢niːki̥ʃi⸣ruŋ]
スムザ,スムザー,[su⸢muʣaː]
ニ,ニ,[⸣-ni]
シンクラーマ,シンクラーマ,[ʃiŋku⸢raː⸣ma]
バイルン,バイルン,[⸢bairuŋ]
アガンタールン,アガンタールン,[ʔa⸢gantaːruŋ]
ニシキルン,ニーシキルン,[⸢niːʃi̥ki⸣ruŋ]
ナングン,ナングン,[⸢naŋ⸣guŋ]
ワタ,ワーター,[⸢waːtaː]
ニントウー,ニントゥー,[⸢nintuː]
アラタビ,アラタビ,[ʔa⸢ra⸣tabi]
キンクウ,キンクー,[⸢kiŋkuː]
ムカシムヌ,ムカシムヌ,[mu⸢ka⸣ʃimunu]
ドゥシンケエ,ドゥシンケー,[du⸢ʃiŋ⸣keː]
アマイビイ,アマイビー,[ʔa⸢maibiː]
ナヌチ,ナーヌチ,[⸢naːnuʧi]
クマアカマア,クマーカマー,[ku⸢maː⸣kamaː]
マアビ,マービ,[⸢maːbi]
ナン,ナン,[⸣naŋ]
ピンギマール,ピンギマール,[⸢piŋ⸣gimaːru]
ピイムタヒ,ピームタビ,[⸢piːmuta⸣bi]
